variable,field,Y2000,Y2010,district
Housing Units,Householder Age - Owner occupied_65 years and over,9020,10346,31
Population,White Nonhispanic,78865,62289,32
Population,Black Nonhispanic,8555,13502,32
Population,Asian and Pacific Islander Nonhispanic,17962,24131,32
Population,Other Nonhispanic,6329,6869,32
Population,Two or More Races Nonhispanic,10397,6917,32
Population,Hispanic Origin,40980,49598,32
Population,Female,84600,83834,32
Population,Male,78488,79472,32
Population,Under 5 years,10963,9469,32
Population,5 to 9 years,11388,9657,32
Population,10 to 14 years,10830,10352,32
Population,15 to 19 years,10172,11520,32
Population,20 to 24 years,10589,11172,32
Population,25 to 44 years,51861,45024,32
Population,45 to 64 years,35842,45242,32
Population,65 years and over,21443,20870,32
Population,18 years and over,123678,126757,32
Population,In households,161249,161613,32
Population,In households_In family households,142805,142815,32
Population,In households_In family households_Householder,40579,39796,32
Population,In households_In family households_Spouse,29078,26914,32
Population,In households_In family households_Own child under 18 years,34766,31010,32
Population,In households_In family households_Other relatives,34471,40235,32
Population,In households_In family households_Nonrelatives,3911,4860,32
Population,In households_In nonfamily households,18444,18798,32
Population,In households_In nonfamily households_Householder,15702,15559,32
Population,In households_In nonfamily households_Householder 65 years and over living alone,5615,5153,32
Population,In households_In nonfamily households_Nonrelatives,2742,3239,32
Population,In group quarters_In nonfamily households,1839,1693,32
Households,In group quarters_In nonfamily households,56281,55355,32
Households,Family households_In nonfamily households,40579,39796,32
Households,Family households_Married-couple family,29078,26914,32
Households,Family households_Married-couple family_With related children under 18 years,15081,13323,32
Households,"Family households_Female householder, no husband present",8295,9201,32
Households,"Family households_Female householder, no husband present_With related children under 18 years",4673,5031,32
Households,"Family households_Male householder, no wife present",3206,3681,32
Households,"Family households_Male householder, no wife present_With related children under 18 years",1436,1666,32
Households,"Nonfamily households_Male householder, no wife present",15702,15559,32
Households,"Households with one or more persons 65 years and over_Male householder, no wife present",15676,15602,32
Persons Per Family,"Households with one or more persons 65 years and over_Male householder, no wife present",3.422804899085734,3.466554427580661,32
Persons Per Household,"Households with one or more persons 65 years and over_Male householder, no wife present",2.865069917023507,2.919573660915906,32
Total Housing Units,"Households with one or more persons 65 years and over_Male householder, no wife present",60901,60519,32
Housing Units,"Householder Age - Households with one or more persons 65 years and over_Male householder, no wife present",56281,55355,32
Housing Units,"Renter occupied_Male householder, no wife present",24438,24898,32
Housing Units,"Owner occupied_Male householder, no wife present",31843,30457,32
Housing Units,Owner occupied_1  person household,13584,13219,32
Housing Units,Owner occupied_2  person household,14550,14119,32
Housing Units,Owner occupied_3  person household,9873,9756,32
Housing Units,Owner occupied_4  person household,9323,8791,32
Housing Units,Owner occupied_5 persons and over,8951,9470,32
Housing Units,Householder Age - Owner occupied_15 to 24 years,1518,1197,32
Housing Units,Householder Age - Owner occupied_25 to 44 years,22800,18084,32
Housing Units,Householder Age - Owner occupied_45 to 64 years,19192,24043,32
Housing Units,Householder Age - Owner occupied_65 years and over,12771,12031,32
Population,White Nonhispanic,104049,125714,33
Population,Black Nonhispanic,11990,9710,33
Population,Asian and Pacific Islander Nonhispanic,5285,8247,33
Population,Other Nonhispanic,3933,820,33
Population,Two or More Races Nonhispanic,5253,3236,33
Population,Hispanic Origin,28173,23008,33
Population,Female,79106,87112,33
Population,Male,79577,83623,33
Population,Under 5 years,12128,15187,33
Population,5 to 9 years,10581,10855,33
Population,10 to 14 years,9748,8898,33
Population,15 to 19 years,9857,8931,33
Population,20 to 24 years,12814,12477,33
Population,25 to 44 years,56631,66883,33
Population,45 to 64 years,32145,32763,33
Population,65 years and over,14779,14741,33
Population,18 years and over,120225,130594,33
Population,In households,153137,165409,33
Population,In households_In family households,112245,114929,33
Population,In households_In family households_Householder,31828,33342,33
Population,In households_In family households_Spouse,23193,25697,33
Population,In households_In family households_Own child under 18 years,35280,38106,33
Population,In households_In family households_Other relatives,18901,15658,33
Population,In households_In family households_Nonrelatives,3043,2126,33
Population,In households_In nonfamily households,40892,50480,33
Population,In households_In nonfamily households_Householder,30769,35766,33
Population,In households_In nonfamily households_Householder 65 years and over living alone,5357,5604,33
Population,In households_In nonfamily households_Nonrelatives,10123,14714,33
Population,In group quarters_In nonfamily households,5546,5326,33
Households,In group quarters_In nonfamily households,62597,69108,33
Households,Family households_In nonfamily households,31828,33342,33
Households,Family households_Married-couple family,23193,25697,33
Households,Family households_Married-couple family_With related children under 18 years,12276,13532,33
Households,"Family households_Female householder, no husband present",6441,5706,33
Households,"Family households_Female householder, no husband present_With related children under 18 years",3675,3042,33
Households,"Family households_Male householder, no wife present",2194,1939,33
Households,"Family households_Male householder, no wife present_With related children under 18 years",845,797,33
Households,"Nonfamily households_Male householder, no wife present",30769,35766,33
Households,"Households with one or more persons 65 years and over_Male householder, no wife present",11353,11503,33
Persons Per Family,"Households with one or more persons 65 years and over_Male householder, no wife present",3.431004147291693,3.3832103653050205,33
Persons Per Household,"Households with one or more persons 65 years and over_Male householder, no wife present",2.446395194657891,2.393485558835446,33
Total Housing Units,"Households with one or more persons 65 years and over_Male householder, no wife present",65744,76112,33
Housing Units,"Householder Age - Households with one or more persons 65 years and over_Male householder, no wife present",62597,69108,33
Housing Units,"Renter occupied_Male householder, no wife present",46451,49684,33
Housing Units,"Owner occupied_Male householder, no wife present",16146,19424,33
Housing Units,Owner occupied_1  person household,22825,24016,33
Housing Units,Owner occupied_2  person household,18711,22928,33
Housing Units,Owner occupied_3  person household,8390,9558,33
Housing Units,Owner occupied_4  person household,5829,6084,33
Housing Units,Owner occupied_5 persons and over,6842,6522,33
Housing Units,Householder Age - Owner occupied_15 to 24 years,4073,3922,33
Housing Units,Householder Age - Owner occupied_25 to 44 years,29398,35481,33
Housing Units,Householder Age - Owner occupied_45 to 64 years,19022,19422,33
Housing Units,Householder Age - Owner occupied_65 years and over,10104,10283,33
Population,White Nonhispanic,24734,41423,34
Population,Black Nonhispanic,16842,15623,34
Population,Asian and Pacific Islander Nonhispanic,8336,11271,34
Population,Other Nonhispanic,990,879,34
Population,Two or More Races Nonhispanic,3019,2022,34
Population,Hispanic Origin,96155,86923,34
Population,Female,77350,79906,34
Population,Male,72726,78235,34
Population,Under 5 years,12087,9515,34
Population,5 to 9 years,12876,8637,34
Population,10 to 14 years,11461,8732,34
Population,15 to 19 years,11445,10048,34
Population,20 to 24 years,13442,16264,34
Population,25 to 44 years,49330,60617,34
Population,45 to 64 years,26901,30666,34
Population,65 years and over,12534,13662,34
Population,18 years and over,106962,125418,34
Population,In households,148245,156125,34
Population,In households_In family households,126414,114055,34
Population,In households_In family households_Householder,34022,32009,34
Population,In households_In family households_Spouse,17321,16402,34
Population,In households_In family households_Own child under 18 years,35833,26469,34
Population,In households_In family households_Other relatives,33144,33390,34
Population,In households_In family households_Nonrelatives,6094,5785,34
Population,In households_In nonfamily households,21831,42070,34
Population,In households_In nonfamily households_Householder,16315,26077,34
Population,In households_In nonfamily households_Householder 65 years and over living alone,4073,4472,34
Population,In households_In nonfamily households_Nonrelatives,5516,15993,34
Population,In group quarters_In nonfamily households,1831,2016,34
Households,In group quarters_In nonfamily households,50337,58086,34
Households,Family households_In nonfamily households,34022,32009,34
Households,Family households_Married-couple family,17321,16402,34
Households,Family households_Married-couple family_With related children under 18 years,10303,8258,34
Households,"Family households_Female householder, no husband present",13353,11930,34
Households,"Family households_Female householder, no husband present_With related children under 18 years",9630,7322,34
Households,"Family households_Male householder, no wife present",3348,3677,34
Households,"Family households_Male householder, no wife present_With related children under 18 years",1658,1756,34
Households,"Nonfamily households_Male householder, no wife present",16315,26077,34
Households,"Households with one or more persons 65 years and over_Male householder, no wife present",9916,11093,34
Persons Per Family,"Households with one or more persons 65 years and over_Male householder, no wife present",3.536535183116807,3.3824861757630664,34
Persons Per Household,"Households with one or more persons 65 years and over_Male householder, no wife present",2.94505036056976,2.687824949213236,34
Total Housing Units,"Households with one or more persons 65 years and over_Male householder, no wife present",53429,62046,34
Housing Units,"Householder Age - Households with one or more persons 65 years and over_Male householder, no wife present",50337,58086,34
Housing Units,"Renter occupied_Male householder, no wife present",43696,50501,34
Housing Units,"Owner occupied_Male householder, no wife present",6641,7585,34
Housing Units,Owner occupied_1  person household,12319,15257,34
Housing Units,Owner occupied_2  person household,12030,17603,34
Housing Units,Owner occupied_3  person household,9215,10380,34
Housing Units,Owner occupied_4  person household,7909,7225,34
Housing Units,Owner occupied_5 persons and over,8864,7621,34
Housing Units,Householder Age - Owner occupied_15 to 24 years,3060,3813,34
Housing Units,Householder Age - Owner occupied_25 to 44 years,23432,27619,34
Housing Units,Householder Age - Owner occupied_45 to 64 years,15670,17538,34
Housing Units,Householder Age - Owner occupied_65 years and over,8175,9116,34
Population,White Nonhispanic,24115,50241,35
Population,Black Nonhispanic,93876,69050,35
Population,Asian and Pacific Islander Nonhispanic,4117,6997,35
Population,Other Nonhispanic,1470,947,35
Population,Two or More Races Nonhispanic,3963,3879,35
Population,Hispanic Origin,23489,20679,35
Population,Female,81712,81670,35
Population,Male,69318,70123,35
Population,Under 5 years,10643,10956,35
Population,5 to 9 years,10926,8342,35
Population,10 to 14 years,10567,7929,35
Population,15 to 19 years,11469,9392,35
Population,20 to 24 years,13346,13270,35
Population,25 to 44 years,50736,56350,35
Population,45 to 64 years,29368,30759,35
Population,65 years and over,13975,14795,35
Population,18 years and over,112528,119695,35
Population,In households,144684,146217,35
Population,In households_In family households,112024,103888,35
Population,In households_In family households_Householder,32487,30708,35
Population,In households_In family households_Spouse,14310,16180,35
Population,In households_In family households_Own child under 18 years,30426,26841,35
Population,In households_In family households_Other relatives,30467,26749,35
Population,In households_In family households_Nonrelatives,4334,3410,35
Population,In households_In nonfamily households,32660,42329,35
Population,In households_In nonfamily households_Householder,25105,30314,35
Population,In households_In nonfamily households_Householder 65 years and over living alone,4584,4926,35
Population,In households_In nonfamily households_Nonrelatives,7555,12015,35
Population,In group quarters_In nonfamily households,6346,5576,35
Households,In group quarters_In nonfamily households,57592,61022,35
Households,Family households_In nonfamily households,32487,30708,35
Households,Family households_Married-couple family,14310,16180,35
Households,Family households_Married-couple family_With related children under 18 years,7607,8313,35
Households,"Family households_Female householder, no husband present",14995,11747,35
Households,"Family households_Female householder, no husband present_With related children under 18 years",10239,6757,35
Households,"Family households_Male householder, no wife present",3182,2781,35
Households,"Family households_Male householder, no wife present_With related children under 18 years",1537,1238,35
Households,"Nonfamily households_Male householder, no wife present",25105,30314,35
Households,"Households with one or more persons 65 years and over_Male householder, no wife present",10850,11690,35
Persons Per Family,"Households with one or more persons 65 years and over_Male householder, no wife present",3.314864407301382,3.272046372280839,35
Persons Per Household,"Households with one or more persons 65 years and over_Male householder, no wife present",2.5122239199888874,2.396135819868244,35
Total Housing Units,"Households with one or more persons 65 years and over_Male householder, no wife present",61147,67188,35
Housing Units,"Householder Age - Households with one or more persons 65 years and over_Male householder, no wife present",57592,61022,35
Housing Units,"Renter occupied_Male householder, no wife present",46917,47890,35
Housing Units,"Owner occupied_Male householder, no wife present",10675,13132,35
Housing Units,Owner occupied_1  person household,19438,21387,35
Housing Units,Owner occupied_2  person household,15895,18661,35
Housing Units,Owner occupied_3  person household,9450,9404,35
Housing Units,Owner occupied_4  person household,6163,5628,35
Housing Units,Owner occupied_5 persons and over,6646,5942,35
Housing Units,Householder Age - Owner occupied_15 to 24 years,3279,3015,35
Housing Units,Householder Age - Owner occupied_25 to 44 years,26507,28701,35
Housing Units,Householder Age - Owner occupied_45 to 64 years,18653,19169,35
Housing Units,Householder Age - Owner occupied_65 years and over,9153,10137,35
Population,White Nonhispanic,1367,10201,36
Population,Black Nonhispanic,119900,104569,36
Population,Asian and Pacific Islander Nonhispanic,1493,3207,36
Population,Other Nonhispanic,815,889,36
Population,Two or More Races Nonhispanic,3333,2740,36
Population,Hispanic Origin,22318,27330,36
Population,Female,82459,81541,36
Population,Male,66767,67395,36
Population,Under 5 years,11804,9439,36
Population,5 to 9 years,13643,9020,36
Population,10 to 14 years,12889,9819,36
Population,15 to 19 years,11934,11249,36
Population,20 to 24 years,10893,13197,36
Population,25 to 44 years,44740,47343,36
Population,45 to 64 years,28923,34049,36
Population,65 years and over,14400,14820,36
Population,18 years and over,103611,114023,36
Population,In households,146060,146691,36
Population,In households_In family households,122167,112396,36
Population,In households_In family households_Householder,34295,32856,36
Population,In households_In family households_Spouse,11502,11465,36
Population,In households_In family households_Own child under 18 years,34987,27146,36
Population,In households_In family households_Other relatives,35875,36234,36
Population,In households_In family households_Nonrelatives,5508,4695,36
Population,In households_In nonfamily households,23893,34295,36
Population,In households_In nonfamily households_Householder,20119,26320,36
Population,In households_In nonfamily households_Householder 65 years and over living alone,5211,5480,36
Population,In households_In nonfamily households_Nonrelatives,3774,7975,36
Population,In group quarters_In nonfamily households,3166,2245,36
Households,In group quarters_In nonfamily households,54414,59176,36
Households,Family households_In nonfamily households,34295,32856,36
Households,Family households_Married-couple family,11502,11465,36
Households,Family households_Married-couple family_With related children under 18 years,6490,5732,36
Households,"Family households_Female householder, no husband present",19370,17714,36
Households,"Family households_Female householder, no husband present_With related children under 18 years",14332,11450,36
Households,"Family households_Male householder, no wife present",3423,3677,36
Households,"Family households_Male householder, no wife present_With related children under 18 years",1756,1760,36
Households,"Nonfamily households_Male householder, no wife present",20119,26320,36
Households,"Households with one or more persons 65 years and over_Male householder, no wife present",11740,12376,36
Persons Per Family,"Households with one or more persons 65 years and over_Male householder, no wife present",3.401632891091996,3.2779705381056727,36
Persons Per Household,"Households with one or more persons 65 years and over_Male householder, no wife present",2.6842356746425557,2.478893470325808,36
Total Housing Units,"Households with one or more persons 65 years and over_Male householder, no wife present",61362,66171,36
Housing Units,"Householder Age - Households with one or more persons 65 years and over_Male householder, no wife present",54414,59176,36
Housing Units,"Renter occupied_Male householder, no wife present",45131,49719,36
Housing Units,"Owner occupied_Male householder, no wife present",9283,9457,36
Housing Units,Owner occupied_1  person household,17451,20766,36
Housing Units,Owner occupied_2  person household,12957,15589,36
Housing Units,Owner occupied_3  person household,9298,9695,36
Housing Units,Owner occupied_4  person household,6746,6324,36
Housing Units,Owner occupied_5 persons and over,7962,6802,36
Housing Units,Householder Age - Owner occupied_15 to 24 years,2599,2720,36
Housing Units,Householder Age - Owner occupied_25 to 44 years,23301,24107,36
Housing Units,Householder Age - Owner occupied_45 to 64 years,18512,21772,36
Housing Units,Householder Age - Owner occupied_65 years and over,10002,10577,36
Population,White Nonhispanic,5114,6511,37
Population,Black Nonhispanic,43567,46968,37
Population,Asian and Pacific Islander Nonhispanic,7188,9977,37
Population,Other Nonhispanic,3028,3034,37
Population,Two or More Races Nonhispanic,4570,2511,37
Population,Hispanic Origin,85736,89437,37
Population,Female,78148,81251,37
Population,Male,71055,77187,37
Population,Under 5 years,13914,12225,37
Population,5 to 9 years,15074,11794,37
Population,10 to 14 years,13708,12109,37
Population,15 to 19 years,12679,13619,37
Population,20 to 24 years,12785,14691,37
Population,25 to 44 years,45938,48281,37
Population,45 to 64 years,25760,33977,37
Population,65 years and over,9345,11742,37
Population,18 years and over,98963,114284,37
Population,In households,147941,156475,37
Population,In households_In family households,136081,137612,37
Population,In households_In family households_Householder,34332,35242,37
Population,In households_In family households_Spouse,16121,15954,37
Population,In households_In family households_Own child under 18 years,40994,35497,37
Population,In households_In family households_Other relatives,37751,43446,37
Population,In households_In family households_Nonrelatives,6883,7473,37
Population,In households_In nonfamily households,11860,18863,37
Population,In households_In nonfamily households_Householder,9134,13267,37
Population,In households_In nonfamily households_Householder 65 years and over living alone,2161,2582,37
Population,In households_In nonfamily households_Nonrelatives,2726,5596,37
Population,In group quarters_In nonfamily households,1262,1963,37
Households,In group quarters_In nonfamily households,43466,48509,37
Households,Family households_In nonfamily households,34332,35242,37
Households,Family households_Married-couple family,16121,15954,37
Households,Family households_Married-couple family_With related children under 18 years,10467,9600,37
Households,"Family households_Female householder, no husband present",14767,15019,37
Households,"Family households_Female householder, no husband present_With related children under 18 years",11440,10477,37
Households,"Family households_Male householder, no wife present",3444,4269,37
Households,"Family households_Male householder, no wife present_With related children under 18 years",1939,2210,37
Households,"Nonfamily households_Male householder, no wife present",9134,13267,37
Households,"Households with one or more persons 65 years and over_Male householder, no wife present",7487,9372,37
Persons Per Family,"Households with one or more persons 65 years and over_Male householder, no wife present",3.7631946871723168,3.692724589977867,37
Persons Per Household,"Households with one or more persons 65 years and over_Male householder, no wife present",3.4036028159941103,3.225690078129832,37
Total Housing Units,"Households with one or more persons 65 years and over_Male householder, no wife present",47906,53885,37
Housing Units,"Householder Age - Households with one or more persons 65 years and over_Male householder, no wife present",43466,48509,37
Housing Units,"Renter occupied_Male householder, no wife present",33069,37723,37
Housing Units,"Owner occupied_Male householder, no wife present",10397,10786,37
Housing Units,Owner occupied_1  person household,7407,9777,37
Housing Units,Owner occupied_2  person household,8443,10600,37
Housing Units,Owner occupied_3  person household,8601,9242,37
Housing Units,Owner occupied_4  person household,8034,8085,37
Housing Units,Owner occupied_5 persons and over,10981,10805,37
Housing Units,Householder Age - Owner occupied_15 to 24 years,2740,2493,37
Housing Units,Householder Age - Owner occupied_25 to 44 years,20944,20465,37
Housing Units,Householder Age - Owner occupied_45 to 64 years,14345,18705,37
Housing Units,Householder Age - Owner occupied_65 years and over,5437,6846,37
Population,White Nonhispanic,25779,26996,38
Population,Black Nonhispanic,8317,7162,38
Population,Asian and Pacific Islander Nonhispanic,33907,51509,38
Population,Other Nonhispanic,1076,700,38
Population,Two or More Races Nonhispanic,4268,1906,38
Population,Hispanic Origin,75998,69009,38
Population,Female,74795,77452,38
Population,Male,74550,79830,38
Population,Under 5 years,11928,11785,38
Population,5 to 9 years,11926,10424,38
Population,10 to 14 years,10634,9250,38
Population,15 to 19 years,10684,10364,38
Population,20 to 24 years,13284,13694,38
Population,25 to 44 years,51301,56212,38
Population,45 to 64 years,27182,33009,38
Population,65 years and over,12406,12544,38
Population,18 years and over,108611,119814,38
Population,In households,147492,154870,38
Population,In households_In family households,129724,132489,38
Population,In households_In family households_Householder,33665,32891,38
Population,In households_In family households_Spouse,20647,20510,38
Population,In households_In family households_Own child under 18 years,34536,30368,38
Population,In households_In family households_Other relatives,34593,40021,38
Population,In households_In family households_Nonrelatives,6283,8699,38
Population,In households_In nonfamily households,17768,22381,38
Population,In households_In nonfamily households_Householder,13141,15080,38
Population,In households_In nonfamily households_Householder 65 years and over living alone,3422,3143,38
Population,In households_In nonfamily households_Nonrelatives,4627,7301,38
Population,In group quarters_In nonfamily households,1853,2412,38
Households,In group quarters_In nonfamily households,46806,47971,38
Households,Family households_In nonfamily households,33665,32891,38
Households,Family households_Married-couple family,20647,20510,38
Households,Family households_Married-couple family_With related children under 18 years,12565,11796,38
Households,"Family households_Female householder, no husband present",9678,8571,38
Households,"Family households_Female householder, no husband present_With related children under 18 years",6504,5178,38
Households,"Family households_Male householder, no wife present",3340,3810,38
Households,"Family households_Male householder, no wife present_With related children under 18 years",1560,1820,38
Households,"Nonfamily households_Male householder, no wife present",13141,15080,38
Households,"Households with one or more persons 65 years and over_Male householder, no wife present",9708,9787,38
Persons Per Family,"Households with one or more persons 65 years and over_Male householder, no wife present",3.666745878508837,3.7636435499072696,38
Persons Per Household,"Households with one or more persons 65 years and over_Male householder, no wife present",3.1511344699397514,3.228408830334994,38
Total Housing Units,"Households with one or more persons 65 years and over_Male householder, no wife present",49089,51320,38
Housing Units,"Householder Age - Households with one or more persons 65 years and over_Male householder, no wife present",46806,47971,38
Housing Units,"Renter occupied_Male householder, no wife present",36131,37328,38
Housing Units,"Owner occupied_Male householder, no wife present",10675,10643,38
Housing Units,Owner occupied_1  person household,10229,10327,38
Housing Units,Owner occupied_2  person household,10505,11760,38
Housing Units,Owner occupied_3  person household,8339,7893,38
Housing Units,Owner occupied_4  person household,7816,7217,38
Housing Units,Owner occupied_5 persons and over,9917,10774,38
Housing Units,Householder Age - Owner occupied_15 to 24 years,2503,2210,38
Housing Units,Householder Age - Owner occupied_25 to 44 years,21925,21469,38
Housing Units,Householder Age - Owner occupied_45 to 64 years,14918,16875,38
Housing Units,Householder Age - Owner occupied_65 years and over,7460,7417,38
Population,White Nonhispanic,93508,101680,39
Population,Black Nonhispanic,8818,6850,39
Population,Asian and Pacific Islander Nonhispanic,14973,19318,39
Population,Other Nonhispanic,1860,939,39
Population,Two or More Races Nonhispanic,6442,3594,39
Population,Hispanic Origin,25306,21960,39
Population,Female,77591,79024,39
Population,Male,73316,75317,39
Population,Under 5 years,11244,13567,39
Population,5 to 9 years,10185,10797,39
Population,10 to 14 years,9446,8964,39
Population,15 to 19 years,8630,8091,39
Population,20 to 24 years,10452,9316,39
Population,25 to 44 years,54266,56087,39
Population,45 to 64 years,29507,32690,39
Population,65 years and over,17177,14829,39
Population,18 years and over,114668,115908,39
Population,In households,148584,152136,39
Population,In households_In family households,115352,117598,39
Population,In households_In family households_Householder,33349,33256,39
Population,In households_In family households_Spouse,24761,26066,39
Population,In households_In family households_Own child under 18 years,33445,36063,39
Population,In households_In family households_Other relatives,20904,19464,39
Population,In households_In family households_Nonrelatives,2893,2749,39
Population,In households_In nonfamily households,33232,34538,39
Population,In households_In nonfamily households_Householder,24617,24795,39
Population,In households_In nonfamily households_Householder 65 years and over living alone,5482,4799,39
Population,In households_In nonfamily households_Nonrelatives,8615,9743,39
Population,In group quarters_In nonfamily households,2323,2205,39
Households,In group quarters_In nonfamily households,57966,58051,39
Households,Family households_In nonfamily households,33349,33256,39
Households,Family households_Married-couple family,24761,26066,39
Households,Family households_Married-couple family_With related children under 18 years,13101,14323,39
Households,"Family households_Female householder, no husband present",6206,5012,39
Households,"Family households_Female householder, no husband present_With related children under 18 years",3295,2492,39
Households,"Family households_Male householder, no wife present",2382,2178,39
Households,"Family households_Male householder, no wife present_With related children under 18 years",908,960,39
Households,"Nonfamily households_Male householder, no wife present",24617,24795,39
Households,"Households with one or more persons 65 years and over_Male householder, no wife present",12466,11003,39
Persons Per Family,"Households with one or more persons 65 years and over_Male householder, no wife present",3.372185073015683,3.453482078421939,39
Persons Per Household,"Households with one or more persons 65 years and over_Male householder, no wife present",2.5632957250802195,2.620730047716663,39
Total Housing Units,"Households with one or more persons 65 years and over_Male householder, no wife present",60626,61582,39
Housing Units,"Householder Age - Households with one or more persons 65 years and over_Male householder, no wife present",57966,58051,39
Housing Units,"Renter occupied_Male householder, no wife present",42037,40009,39
Housing Units,"Owner occupied_Male householder, no wife present",15929,18042,39
Housing Units,Owner occupied_1  person household,17952,17145,39
Housing Units,Owner occupied_2  person household,17883,18143,39
Housing Units,Owner occupied_3  person household,8953,9095,39
Housing Units,Owner occupied_4  person household,6505,6781,39
Housing Units,Owner occupied_5 persons and over,6673,6887,39
Housing Units,Householder Age - Owner occupied_15 to 24 years,2674,2136,39
Housing Units,Householder Age - Owner occupied_25 to 44 years,27399,27436,39
Housing Units,Householder Age - Owner occupied_45 to 64 years,17064,18970,39
Housing Units,Householder Age - Owner occupied_65 years and over,10829,9509,39
Population,White Nonhispanic,125998,120242,4
Population,Black Nonhispanic,4894,4628,4
Population,Asian and Pacific Islander Nonhispanic,12515,16240,4
Population,Other Nonhispanic,533,553,4
Population,Two or More Races Nonhispanic,2427,2712,4
Population,Hispanic Origin,9486,10824,4
Population,Female,85733,85329,4
Population,Male,70120,69870,4
Population,Under 5 years,6584,6856,4
Population,5 to 9 years,4908,5434,4
Population,10 to 14 years,4390,4755,4
Population,15 to 19 years,3669,4086,4
Population,20 to 24 years,8321,11142,4
Population,25 to 44 years,57596,52306,4
Population,45 to 64 years,44026,40682,4
Population,65 years and over,26359,29938,4
Population,18 years and over,137556,135526,4
Population,In households,153244,152187,4
Population,In households_In family households,88249,87781,4
Population,In households_In family households_Householder,33447,32625,4
Population,In households_In family households_Spouse,28030,27135,4
Population,In households_In family households_Own child under 18 years,17730,19165,4
Population,In households_In family households_Other relatives,7669,7754,4
Population,In households_In family households_Nonrelatives,1373,1102,4
Population,In households_In nonfamily households,64995,64406,4
Population,In households_In nonfamily households_Householder,55396,51545,4
Population,In households_In nonfamily households_Householder 65 years and over living alone,11988,12778,4
Population,In households_In nonfamily households_Nonrelatives,9599,12861,4
Population,In group quarters_In nonfamily households,2609,3012,4
Households,In group quarters_In nonfamily households,88843,84170,4
Households,Family households_In nonfamily households,33447,32625,4
Households,Family households_Married-couple family,28030,27135,4
Households,Family households_Married-couple family_With related children under 18 years,9301,9618,4
Households,"Family households_Female householder, no husband present",4110,4139,4
Households,"Family households_Female householder, no husband present_With related children under 18 years",1819,1887,4
Households,"Family households_Male householder, no wife present",1307,1351,4
Households,"Family households_Male householder, no wife present_With related children under 18 years",398,505,4
Households,"Nonfamily households_Male householder, no wife present",55396,51545,4
Households,"Households with one or more persons 65 years and over_Male householder, no wife present",21166,23460,4
Persons Per Family,"Households with one or more persons 65 years and over_Male householder, no wife present",2.5974227882919245,2.6568275862068966,4
Persons Per Household,"Households with one or more persons 65 years and over_Male householder, no wife present",1.7248854721249844,1.8080907686824284,4
Total Housing Units,"Households with one or more persons 65 years and over_Male householder, no wife present",100745,98900,4
Housing Units,"Householder Age - Households with one or more persons 65 years and over_Male householder, no wife present",88843,84170,4
Housing Units,"Renter occupied_Male householder, no wife present",59698,53995,4
Housing Units,"Owner occupied_Male householder, no wife present",29145,30175,4
Housing Units,Owner occupied_1  person household,47103,41146,4
Housing Units,Owner occupied_2  person household,27808,27470,4
Housing Units,Owner occupied_3  person household,7631,8543,4
Housing Units,Owner occupied_4  person household,4539,5111,4
Housing Units,Owner occupied_5 persons and over,1762,1900,4
Housing Units,Householder Age - Owner occupied_15 to 24 years,3522,4401,4
Housing Units,Householder Age - Owner occupied_25 to 44 years,36383,31392,4
Housing Units,Householder Age - Owner occupied_45 to 64 years,29049,26257,4
Housing Units,Householder Age - Owner occupied_65 years and over,19889,22120,4
Population,White Nonhispanic,9171,15122,40
Population,Black Nonhispanic,110669,95211,40
Population,Asian and Pacific Islander Nonhispanic,5859,7799,40
Population,Other Nonhispanic,1226,1100,40
Population,Two or More Races Nonhispanic,5591,2926,40
Population,Hispanic Origin,21134,24364,40
Population,Female,84770,80293,40
Population,Male,68880,66229,40
Population,Under 5 years,12019,9795,40
Population,5 to 9 years,12319,8965,40
Population,10 to 14 years,11945,8983,40
Population,15 to 19 years,12128,9980,40
Population,20 to 24 years,12130,11496,40
Population,25 to 44 years,48596,44800,40
Population,45 to 64 years,32585,37452,40
Population,65 years and over,11928,15051,40
Population,18 years and over,110049,112858,40
Population,In households,152138,144322,40
Population,In households_In family households,132095,119340,40
Population,In households_In family households_Householder,36965,33683,40
Population,In households_In family households_Spouse,16026,15007,40
Population,In households_In family households_Own child under 18 years,35369,25792,40
Population,In households_In family households_Other relatives,37991,39765,40
Population,In households_In family households_Nonrelatives,5744,5093,40
Population,In households_In nonfamily households,20043,24982,40
Population,In households_In nonfamily households_Householder,15901,19348,40
Population,In households_In nonfamily households_Householder 65 years and over living alone,2889,3857,40
Population,In households_In nonfamily households_Nonrelatives,4142,5634,40
Population,In group quarters_In nonfamily households,1512,2200,40
Households,In group quarters_In nonfamily households,52866,53031,40
Households,Family households_In nonfamily households,36965,33683,40
Households,Family households_Married-couple family,16026,15007,40
Households,Family households_Married-couple family_With related children under 18 years,9499,7918,40
Households,"Family households_Female householder, no husband present",17068,14853,40
Households,"Family households_Female householder, no husband present_With related children under 18 years",11885,8773,40
Households,"Family households_Male householder, no wife present",3871,3823,40
Households,"Family households_Male householder, no wife present_With related children under 18 years",2039,1791,40
Households,"Nonfamily households_Male householder, no wife present",15901,19348,40
Households,"Households with one or more persons 65 years and over_Male householder, no wife present",9497,11866,40
Persons Per Family,"Households with one or more persons 65 years and over_Male householder, no wife present",3.418125253618288,3.3918297063800726,40
